CAMIÓN,RUTA,MOMENTO DE VISITA,BICICLETAS EN CAMIÓN
3,1.0,0,25
3,17.0,5,40
3,218.0,13,26
3,142.0,22,39
3,152.0,28,49
3,514.0,38,40
3,133.0,45,46
3,177.0,59,41
3,20.0,64,30
3,21.0,67,24
3,23.0,79,31
3,4.0,86,40
3,368.0,93,33
3,108.0,102,24
3,60.0,111,31
3,90.0,124,22
3,102.0,131,16
3,325.0,139,8
3,334.0,146,1
3,361.0,165,9
3,56.0,171,20
3,366.0,176,29
3,34.0,186,35
3,216.0,203,28
3,36.0,224,37
3,31.0,233,44
3,33.0,238,50
3,491.0,261,43
3,488.0,264,34
3,294.0,273,25
3,293.0,281,17
3,45.0,302,25
3,150.0,317,16
3,154.0,322,25
3,166.0,327,35
3,165.0,333,44
3,60.0,353,35
3,385.0,361,26
3,51.0,375,36
3,401.0,388,42
3,126.0,392,50
3,443.0,406,43
3,206.0,414,33
3,284.0,416,22
3,207.0,419,13
3,179.0,435,21
3,235.0,452,26
3,494.0,469,19
3,1.0,479,19
